Gender,Computer,Smartphone,Tablet,Participated,Number of devices
Male,No,Android,iPad,No,Two
Male,No,Android,No,No,One
Male,Windows,iPhone,No,No,Two
Male,Windows,Android,Android,Yes,Three
Male,Mac,?,iPad,No,Three
Male,Windows,Blackberry,No,No,Two
Male,Mac,?,iPad,No,Three
Female,Windows,iPhone,Android,Yes,Three
Male,Windows,Android,iPad,Yes,Three
Female,Windows,Android,No,No,Two
Male,Windows,iPhone,Android,No,Three
Female,Windows,Android,iPad,No,Three
Female,Windows,Android,No,Yes,Two
Male,Windows,Android,No,No,Two
Male,Windows,Android,No,No,Two
Male,Windows,iPhone,iPad,No,Three
Male,Windows,Android,Android,Yes,Three
Male,Windows,?,iPad,No,Three
Male,Windows,Android,No,No,Two
Male,Windows,Android,No,No,Two
Female,Mac,Android,No,Yes,Two
Female,Windows,iPhone,No,No,Two
Male,Windows,iPhone,No,No,Two
Male,Mac,Android,iPad,Yes,Three
Male,Mac,iPhone,No,Yes,Two
Female,Windows,Android,iPad,No,Three
Female,Windows,Android,No,Yes,Two
Male,Windows,Android,No,No,Two
Male,Windows,Android,Android,No,Three
Male,Windows,Android,No,No,Two
Female,Windows,Android,Android,Yes,Three
Female,Windows,iPhone,iPad,Yes,Three
Female,Mac,iPhone,iPad,Yes,Three
Male,No,Android,Android,No,Three
Male,Windows,iPhone,No,No,Two
Male,Windows,Android,No,No,Two
Male,Windows,Android,No,No,Two
Male,Windows,Android,No,No,Two
Male,Windows,iPhone,iPad,No,Three
Male,Windows,iPhone,iPad,No,Three
Female,Mac,Android,iPad,No,Three
Male,Windows,Android,iPad,No,Three
Male,Windows,Android,Android,Yes,Three
Female,Windows,Android,No,No,Two
Male,Windows,Android,No,Yes,Two
Female,Mac,Android,iPad,Yes,Three
Male,Windows,iPhone,No,No,Two
Male,Windows,Android,No,Yes,Two
Female,Mac,Android,No,Yes,Two
Male,Windows,Android,No,No,Two
Male,No,Android,Android,No,Two
Female,?,?,?,No,Three
Female,Windows,Android,No,No,Two
Female,Windows,Android,Android,No,Three
Male,Windows,Android,Windows,No,Three
Male,Windows,Android,No,No,Two
Male,Mac,iPhone,iPad,No,Three
Female,Mac,iPhone,Android,No,Three
Female,?,?,?,No,Three
Male,Mac,Android,No,Yes,Two
Female,Windows,No,iPad,Yes,Two
Female,Mac,Android,No,Yes,Two
Male,Windows,Android,No,Yes,Two
