has,prefers,count
"Windows Computer","Android Phone",10
"Windows Computer","iOS Phone",1
"Windows Computer","No Phone",1
"Windows Computer","Android Tablet",3
"Windows Computer","iOS Tablet",3
"Windows Computer","No Tablet",6
"Mac Computer","Android Phone",6
"Mac Computer","iOS Phone",2
"Mac Computer","No Phone",0
"Mac Computer","Android Tablet",0
"Mac Computer","iOS Tablet",3
"Mac Computer","No Tablet",5
"No Computer","Android Phone",0
"No Computer","iOS Phone",1
"No Computer","No Phone",0
"No Computer","Android Tablet",1
"No Computer","iOS Tablet",0
"No Computer","No Tablet",0
"Android Phone","Windows Computer",10
"Android Phone","Mac Computer",6
"Android Phone","No Computer",0
"Android Phone","Android Tablet",3
"Android Phone","iOS Tablet",3
"Android Phone","No Tablet",10
"iOS Phone","Windows Computer",1
"iOS Phone","Mac Computer",2
"iOS Phone","No Computer",1
"iOS Phone","Android Tablet",1
"iOS Phone","iOS Tablet",2
"iOS Phone","No Tablet",1
"No Phone","Windows Computer",1
"No Phone","Mac Computer",0
"No Phone","No Computer",0
"No Phone","Android Tablet",0
"No Phone","iOS Tablet",1
"No Phone","No Tablet",0
"Android Tablet","Windows Computer",3
"Android Tablet","Mac Computer",0
"Android Tablet","No Computer",1
"Android Tablet","Android Phone",3
"Android Tablet","iOS Phone",1
"Android Tablet","No Phone",0
"iOS Tablet","Windows Computer",3
"iOS Tablet","Mac Computer",3
"iOS Tablet","No Computer",0
"iOS Tablet","Android Phone",3
"iOS Tablet","iOS Phone",2
"iOS Tablet","No Phone",1
"No Tablet","Windows Computer",6
"No Tablet","Mac Computer",5
"No Tablet","No Computer",0
"No Tablet","Android Phone",10
"No Tablet","iOS Phone",1
"No Tablet","No Phone",0
