"unisun","unisunNum"
"AppTracker-end",22
"AppTracker-Twitter-BBC News-end",1
"Gmail-AppTracker-end",2
"Twitter-end",47
"BBC News-AppTracker-end",1
"Trip Advisor-AppTracker-end",1
"Gmail-end",613
"SMS-end",133
"Gmail-Gmail-end",29
"Facebook-end",139
"BBC News-end",22
"Facebook-Gmail-Twitter-BBC News-end",1
"Gmail-Facebook-Gmail-end",12
"Gmail-Facebook-end",91
"Guardian-Gmail-Guardian-end",1
"Starbucks-end",62
"Phone-Gmail-Twitter-end",1
"Twitter-Gmail-Gmail-end",1
"SMS-Gmail-end",45
"SMS-Gmail-Gmail-Facebook-end",1
"Gmail-AppTracker-Guardian-end",1
"AppTracker-AppTracker-Twitter-end",1
"BBC News-Facebook-end",1
"Gmail-Gmail-BBC News-end",1
"Facebook-Guardian-end",5
"Google Maps-Google Maps-end",2
"Photos-end",1
"Google Maps-end",47
"Phone-end",62
"Safari-end",51
"Gmail-Twitter-end",28
"National Rail-Twitter-Twitter-Twitter-end",1
"Google Maps-Google Maps-Safari-Facebook-end",1
"Camera-end",141
"Gmail-National Rail-end",5
"Camera-Twitter-end",1
"Twitter-Twitter-end",5
"Camera-Twitter-Twitter-end",1
"Facebook-Twitter-Guardian-end",2
"Gmail-Facebook-BBC News-end",9
"Gmail-Twitter-BBC News-Phone-end",1
"BBC News-Twitter-end",5
"CBeebies-BBC News-CBeebies-end",1
"National Rail-end",36
"SMS-SMS-Gmail-end",4
"Gmail-Facebook-Twitter-end",12
"Guardian-end",56
"AppTracker-AppTracker-Camera-AppTracker-end",1
"Gmail-Twitter-Twitter-AppTracker-end",1
"Gmail-SMS-end",7
"SMS-SMS-Gmail-Starbucks-end",1
"Guardian-Settings-Settings-Appstore-end",1
"Starbucks-Gmail-end",3
"Calendar-end",17
"Gmail-Guardian-end",22
"Gmail-Starbucks-end",7
"Phone-Gmail-end",1
"Settings-end",5
"Research App 4-end",14
"Clock-Safari-Settings-Gmail-end",1
"Twitter-Research App 4-end",1
"Gmail-Research App 4-Facebook-end",1
"Gmail-Facebook-AppTracker-Guardian-end",1
